property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
House,House,Spacious 3 bedroom house to rent in buruburu. If u are looking for houses to rent in buruburu or Eastlands please call,3 bedrooms,2 bathrooms,Not available,Newly-Built,5,,Yes,Standard,,Allowed,Pets Allowed,Allowed,,Not available,kenya,,,10/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Service Charge Included

|



Serviced","Balcony

|



Gym

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Pet Friendly

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Wheelchair Access

|



Garden",,
Studio Apartment in South B for rent,Studio Apartment,"Modern bedsitter to let in southb,very spacious,kitchenet,parking ,water,garabage and security inclusive reafy for occupation for viewing and more options call us on",1 bedroom,1 bathroom,Not available,South b,South b,50,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
4bdrm Apartment in Nyali for rent,Apartment,"4 bedroom to let in mkomani, two master rooms, two common, enclosed kitchen, balcony, lobby area, ample parking, water, security guards and caretaker. Close to the road for easy accessibility, rent inclusive of service charge",4 bedrooms,3 bathrooms,Not available,Mkomani,"2500
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,06/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet","Kids Play Area

|



Parking

|



Garden

|



Gated Community

|



Wheelchair Access",,
1bdrm Apartment in Bamburi for rent,Apartment,"Reliable water supply, basement parking, balcony space, open plan kitchen, ready for occupation",1 bedroom,1 bathroom,Not available,Bamburi mtamboni,Bamburi,100,Fairly Used,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,14/03/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included","Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
1bdrm Bedsitter in Karen for Rent,Bedsitter,"This cosy bedsitter in a very secure and quiet neighborhood of Karen, close to public transport, schools and many social amenities is up for rent.
It has a steady supply of water and has WiFi connectivity.
Rent is inclusive of service charge, water bills and electricity bills.",1 bedroom,1 bathroom,Not available,Hardy,Renovated,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,18/04/2024,"Alarm

|



Backup Generator

|



Fibre Internet

|



Furnished

|



Service Charge Included","CCTV

|



Electric Fence

|



Parking

|



Gated Community

|



Pet Friendly",,
Furnished 1bdrm Apartment in Kileleshwa for rent,Apartment,"1 bedroom duplex +DSQ for rent in Kileleshwa (new)
Features:
All ensuite
Balconies with panoramic views
Perfect naturally well lit rooms
Well manicured garden
DSQ
CCTV
Electric fencing 
24hrs manned gate
Intercom system
2 parking spaces 
Children play area
This property is elegant and beautiful;Specifically designed to provide a luxurious ambience and comfort to tenants.This property is within a short distance from essential business and recreational facilities",1 bedroom,1 bathroom,Not available,Kileleshwa,Kileleshwa,250,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,11/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Gym

|



Parking

|



Wheelchair Access

|



Gated Community

|



Kids Play Area

|



Pet Friendly

|



Lift/Elevator

|



Swimming Pool",,
Furnished 3bdrm Apartment in Kilimani for rent,Apartment,"Junction Gardens Apartments is a spacious well-maintaned furnished apartments situated on Riara road in Kilimani Nairobi opposite Junction mall within close proximity to school, mall, offices.

Furnished 
Rent;


Features;
 Lounge with dinning area
 fitted kitchen
 3 all ensuit bedroom
 Balcony

Amenities
 ample parking",,,,,,,,,,,,,,,kenya,,,,,,,
" borehole
 Landscaping",,,,,,,,,,,,,,,,,kenya,,,,,,,
" 24 hours security services.
 backup generator",,,,,,,,,,,,,,,,,kenya,,,,,,,
" Kids play area
 Swimming pool",,,,,,,,,,,,,,,,,kenya,,,,,,,
 Gym,3 bedrooms,3 bathrooms,Not available,riara road,"180
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,,,kenya,06/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



Walk In Closet

|



En Suite

|



Fibre Internet

|



Furnished","Balcony

|



Gym

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Wheelchair Access

|



Garden

|



Pet Friendly

|



Kids Play Area",,,,
"4bdrm Maisonette in Muigai Inn, Kenyatta Road / Theta  for rent",Maisonette,"-maisonette for rent 
-4 bedroom all ensuite
-newly built
-exquisite design
-top notch finish",4 bedrooms,5 bathrooms,Not available,"Kenyatta road,muigai inn",Muigai inn,450,Newly-Built,Unfurnished,,Not available,5,Not available,,Not available,kenya,,,06/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



Walk In Closet

|



En Suite

|



Fibre Internet","Balcony

|



Gym

|



Gated Community

|



Kids Play Area

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Pet Friendly

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Wheelchair Access

|



Garden",,
"4bdrm Townhouse / Terrace in Kizingo, Mombasa CBD for rent",Townhouse / Terrace,"4 bedroom maisonette for rent
The property offers a well secured neighborhood and 5 mins drive to Mombasa CBD and public amenities.",4 bedrooms,4 bathrooms,Not available,Statehouse Mombasa,Kizingo,4000,Fairly Used,Unfurnished,,Not available,4,Not available,,Not available,kenya,,,06/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



Walk In Closet

|



En Suite

|



Fibre Internet

|



Furnished","Wheelchair Access

|



Garden

|



Borehole

|



Swimming Pool

|



Electric Fence

|



Parking

|



Pet Friendly

|



CCTV

|



Kids Play Area

|



Lift/Elevator

|



BBQ

|



Balcony

|



Gym

|



Gated Community",,
3bdrm Bungalow in Karen for Rent,Bungalow,3bedrooms standalone on half acre dsq for 1 garage,3 bedrooms,4 bathrooms,Not available,Bogani,Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"Aircon

|



Alarm

|



Backup Generator","Lift/Elevator

|



Parking

|



Electric Fence

|



Garden

|



CCTV

|



Balcony

|



Wheelchair Access",,
1bdrm Apartment in Rimpa Estate for rent,Apartment,"One Bedroom Apartment
Spacious Lounge 
Well-fit Kitchen with Cabinets
Kitchen yard/Balcony
Separate toilet and bathroom",1 bedroom,1 bathroom,Not available,Rimpa,Rimpa Estate,40,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,10/05/2024,"Backup Generator

|



Alarm

|



Service Charge Included","CCTV

|



Parking

|



Lift/Elevator

|



Gym",,
Furnished 2bdrm Apartment in Kileleshwa for rent,Apartment,"This is a superb two Bedroom with an sq located in Kileleshwa, very spacious and very modern. Security very spacious",2 bedrooms,2 bathrooms,Not available,Kileleshwa,Fairly Used,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,Service Charge Included,"Balcony

|



Parking

|



Garden

|



Kids Play Area

|



Pet Friendly",,
3bdrm Apartment in Lavington for rent,Apartment,"Lavington three bedroom apartment plus a dsq to #let.
Master ensuite
Closed kitchen plan
Very spacious
Dsq available
Ample parking
Kids playing area
Rent is 100k incluisive",3 bedrooms,2 bathrooms,Not available,Lavington,Lavington,82,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,13/04/2024,"Backup Generator

|



Alarm

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Gym

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area

|



Gated Community",,
"3bdrm Maisonette in Komarock, Nairobi Central for rent",Maisonette,3 bedroomed maisonette in Komarock Sector 2 with wide balcony space wifi Dstv,3 bedrooms,1 bathroom,Not available,Komarock Sector 2,Komarock,200,Fairly Used,Semi-Furnished,,Not available,2,Not available,,Not available,kenya,,,10/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Gated Community

|



Kids Play Area",,
4bdrm Townhouse / Terrace in Westlands for rent,Townhouse / Terrace,"This vintage house is well maintained and well taken care of and offers serene views of Karura Forest offering stunning arrays of lush.
This 4 bedroom house plus SQ is located in a gated community of 3 town homes. 
The bespoke features of this home include a basement entertainment areas and a garden. 
Viewing arrangements are required.",4 bedrooms,3 bathrooms,Not available,Peponi Road,"210
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,10/05/2024,"En Suite

|



Service Charge Included","Balcony

|



BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Gated Community

|



Wheelchair Access

|



Kids Play Area",,
"Furnished 2bdrm Apartment in Upper Hill, Upperhill for rent",Apartment,Highly Executive posh luxurious apartments for short and long stay.Have both executive and casual feel depending on your perception interpretation of its environment.This makes your day and night.All services are 100% provided .,2 bedrooms,2 bathrooms,Not available,Upper hill,Upper hill,100,Newly-Built,Furnished,,Not available,2,Not available,,Not available,kenya,,,10/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



Fibre Internet","Balcony

|



CCTV

|



Electric Fence

|



Lift/Elevator

|



Parking

|



Wheelchair Access",,
"3bdrm Apartment in Riara Road, Lavington for rent",Apartment,"An executive spacious 3bedroom plus Dsq all en-suite apartment for rent in Lavington close to Makini School.
- High quality finishes 
- Spacious lounge 
- Separate dining room 
- Fitted kitchen 
- Laundry area 
- Visitors cloakroom 
- Swimming pool 
- Gym
- Borehole 
- Lifts 
- Sauna 
- Parking 
- 24hr security",3 bedrooms,3 bathrooms,Not available,Lavington Nairobi,Riara Road,226,Renovated,Unfurnished,,Not available,3,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Serviced

|



Walk In Closet","BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
2bdrm Apartment in Uthiru for Rent,Apartment,"2 bedroom apartment in Uthiru for rent.
Spacious, neat and secure.
Available immediately",2 bedrooms,2 bathrooms,Not available,Naivasha Road,Uthiru,120,Fairly Used,Unfurnished,,"Balcony, Tiled Floor, Hot Water, Wardrobe, Dining Area, 24-hour Electricity, Apartment, Kitchen Cabinets, Kitchen Shelf, Pre-Paid Meter",Pets Allowed,Yes,,Not available,kenya,,,09/05/2024,"Backup Generator

|



Service Charge Included

|



Walk In Closet

|



En Suite","Electric Fence

|



CCTV

|



Lift/Elevator

|



Balcony

|



Parking

|



Staff Quarters

|



Borehole",,
"5bdrm Townhouse / Terrace in Section 9 Near, Thika for rent",Townhouse / Terrace,"Five bedroom house available to let located at the heart of thika town section 9 behind thika nursing school or near mugumoini primary school
its lying on a quarter acre land its very spacious and have extra space and rooms 
can be used as an office or school
rent 160k",5 bedrooms,3 bathrooms,Not available,THIKA SECTION 9,SECTION 9 NEAR MUGUMOINI PRIMARY,90,Detached,Fairly Used,,3,Unfurnished,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Serviced

|



Walk In Closet","BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
1bdrm Apartment in Kikuyu for rent,Apartment,"Brand new block of apartments in kikuyu 
studios: 15,000/=
one bedroom : 20,000/=
two bedroom: 32,000/=
Çbrand new 
Çmaster ensuit 
Çlift
Çbalcony 
Çairy and well naturally lit
Çsafaricom home fibre ready
Çconsistent clean water supply
Çsecure round the clock
Çopen rooftop",1 bedroom,1 bathroom,Not available,Kidfarmaco,"80
     
      sqm",,Unfurnished,1,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Serviced

|



Walk In Closet","BBQ

|



Electric Fence

|



Garden

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
"2bdrm Apartment in Gatundu Road, Kileleshwa for rent",Apartment,"A magnificent ultra modern spacious 2bedroom apartment for rent excellently located in the leafy suburb of Kileleshwa.
- High quality finishes
- Spacious living room
- Dining room
- Fully Fitted kitchen
- Laundry area
- Rooftop swimming pool
- Gym
- Sauna
- Club house
- Ample parking
- CCTV cameras and Intercom",2 bedrooms,3 bathrooms,Not available,Kileleshwa Nairobi,GATUNDU ROAD,156,Newly-Built,Semi-Furnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","Balcony

|



Gym

|



Gated Community

|



Kids Play Area

|



Pet Friendly

|



Parking

|



Lift/Elevator

|



BBQ

|



CCTV

|



Electric Fence

|



Staff Quarters

|



Borehole

|



Swimming Pool

|



Garden

|



Wheelchair Access",,
